WaDEBenUse,UniqueCount,len_WBU
"Agriculture Irrigation,Fire,Livestock,Other,Recreation",23,5
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Recreation",23,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation,Reservoir Storage",23,9
"Commercial/Industrial,Domestic,Other,Public Supply",23,4
"Recreation,Thermoelectric Cooling",23,2
"Domestic,Other,Unspecified",23,3
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Unspecified",23,5
"Agriculture Irrigation,Domestic,Livestock,Other,Recreation",23,5
"Fire,Municipal Irrigation",23,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Unspecified",23,7
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Recreation,Unspecified",23,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Hydroelectric,In-stream Flow,Other,Public Supply,Recreation,Reservoir Storage,Snow,Unspecified",23,13
"Agriculture Irrigation,Commercial/Industrial,Fire,Public Supply",23,4
"Agriculture Irrigation,Domestic,Mining",23,3
"Municipal Irrigation,Other,Recreation",22,3
"Aquaculture,Other,Public Supply",22,3
"Agriculture Irrigation,Livestock,Other,Unspecified",22,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,In-stream Flow,Other,Public Supply",22,6
"Agriculture Irrigation,Aquaculture,Other,Recreation,Reservoir Storage,Unspecified",22,6
"Agriculture Irrigation,Commercial/Industrial,Fire,Livestock,Other",22,5
"Agriculture Irrigation,Aquaculture,Domestic,Fire",22,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Reservoir Storage,Unspecified",22,6
"Agriculture Irrigation,Other,Public Supply,Unspecified",22,4
"Fire,In-stream Flow,Livestock,Other,Recreation",22,5
"Livestock,Public Supply,Recreation",22,3
"Other,Public Supply,Unspecified",22,3
"Agriculture Irrigation,Recreation,Unspecified",22,3
"Aquaculture,Other,Recreation,Reservoir Storage",21,4
"Livestock,Municipal Irrigation,Other",21,3
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Hydroelectric,Livestock,Other,Recreation,Reservoir Storage",21,9
"Hydroelectric,Public Supply",21,2
"Agriculture Irrigation,Commercial/Industrial,Fire,Unspecified",21,4
"Fire,Livestock,Other,Unspecified",21,4
"Agriculture Irrigation,Aquaculture,Domestic,Other,Recreation,Unspecified",21,6
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Unspecified",21,11
"Agriculture Irrigation,Municipal Irrigation,Other",21,3
"Aquifer Recharge,Other",21,2
"Aquaculture,Domestic,Unspecified",20,3
"Fire,Public Supply",20,2
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Other,Recreation",20,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Other,Recreation,Unspecified",20,6
"Agriculture Irrigation,Aquaculture,Fire,Other",20,4
"Aquaculture,Fire,Other,Public Supply,Recreation",20,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Public Supply,Recreation,Snow,Unspecified",20,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Unspecified",20,9
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Other,Recreation",20,6
"Agriculture Irrigation,Aquaculture,Fire,Recreation,Unspecified",19,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric",19,4
"Aquifer Recharge,Public Supply",19,2
"Aquaculture,Domestic,Livestock,Other,Recreation",19,5
"In-stream Flow,Livestock,Municipal Irrigation",19,3
"Domestic,Mining,Public Supply",19,3
"Aquaculture,Commercial/Industrial,Domestic,Livestock",19,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other,Public Supply,Recreation,Reservoir Storage",19,8
"Fire,Other,Unspecified",18,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation,Unspecified",18,8
"Livestock,Recreation,Unspecified",18,3
"Commercial/Industrial,Domestic,Fire,Reservoir Storage,Snow",18,5
"Agriculture Irrigation,Domestic,Other,Unspecified",18,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Livestock,Other,Public Supply,Recreation",18,7
"Commercial/Industrial,Public Supply,Unspecified",18,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Unspecified",18,5
"Agriculture Irrigation,Fire,Municipal Irrigation",18,3
"Agriculture Irrigation,Domestic,In-stream Flow,Livestock",18,4
"Agriculture Irrigation,Domestic,Fire,Unspecified",17,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Other,Recreation",17,5
"Agriculture Irrigation,In-stream Flow,Other",17,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Public Supply",17,5
"Agriculture Irrigation,Domestic,Other,Recreation",17,4
"Agriculture Irrigation,Aquaculture,In-stream Flow,Other,Public Supply,Reservoir Storage,Unspecified",17,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Public Supply",17,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Unspecified",17,7
"Aquaculture,Domestic,Livestock,Other",17,4
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Reservoir Storage,Unspecified",17,8
"Agriculture Irrigation,Domestic,In-stream Flow,Public Supply,Reservoir Storage,Unspecified",17,6
"Agriculture Irrigation,Commercial/Industrial,Public Supply,Unspecified",17,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Public Supply,Snow",17,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Public Supply,Recreation,Unspecified",17,8
"Domestic,Municipal Irrigation,Thermoelectric Cooling",17,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Recreation",17,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",17,10
"Commercial/Industrial,Domestic,Thermoelectric Cooling",17,3
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Hydroelectric,Reservoir Storage,Unspecified",17,8
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Hydroelectric,Public Supply,Recreation,Unspecified",16,9
"Agriculture Irrigation,Aquifer Recharge,Livestock",16,3
"Commercial/Industrial,Domestic,Fire,Other,Public Supply",16,5
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Recreation",16,5
"Agriculture Irrigation,Aquaculture,Livestock,Unspecified",16,4
"Agriculture Irrigation,Domestic,Mining,Other",16,4
"Other,Reservoir Storage,Unspecified",16,3
"Agriculture Irrigation,Municipal Irrigation,Recreation",16,3
"Domestic,Fire,Livestock,Public Supply",15,4
"Agriculture Irrigation,Domestic,Public Supply,Recreation,Unspecified",15,5
"Agriculture Irrigation,Hydroelectric,Public Supply,Unspecified",15,4
"Agriculture Irrigation,Domestic,Fire,Other",15,4
"Domestic,Hydroelectric",15,2
"Fire,Livestock,Other,Reservoir Storage",15,4
"Agriculture Irrigation,Domestic,Fire,Livestock,Other,Recreation",15,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Recreation",15,7
"Agriculture Irrigation,Aquaculture,Fire,Livestock,Unspecified",15,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Recreation,Reservoir Storage,Unspecified",15,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Recreation",15,5
"Fire,Livestock,Unspecified",15,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Recreation,Reservoir Storage,Unspecified",15,8
"Agriculture Irrigation,Aquaculture,Fire,Other,Recreation,Reservoir Storage",15,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Recreation",15,6
"Aquaculture,In-stream Flow",15,2
"Aquaculture,Domestic,Fire,Other,Recreation",15,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Other,Public Supply,Recreation,Unspecified",14,8
"Agriculture Irrigation,Commercial/Industrial,Domestic,Mining,Recreation",14,5
"Agriculture Irrigation,Aquaculture,Domestic,Other,Recreation",14,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Mining",14,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Livestock,Other",14,5
"Aquaculture,Other,Recreation,Reservoir Storage,Unspecified",14,5
"Agriculture Irrigation,Snow",14,2
"Agriculture Irrigation,Domestic,Hydroelectric",14,3
"Agriculture Irrigation,Commercial/Industrial,Recreation,Unspecified",14,4
"Fire,Recreation,Unspecified",14,3
"Domestic,In-stream Flow,Livestock,Municipal Irrigation",14,4
"Agriculture Irrigation,In-stream Flow,Municipal Irrigation",14,3
"Aquifer Recharge,Other,Recreation",14,3
"Agriculture Irrigation,Public Supply,Reservoir Storage,Unspecified",14,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Recreation,Unspecified",14,6
"Commercial/Industrial,Other,Unspecified",14,3
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Public Supply,Unspecified",14,5
"Aquaculture,Domestic,Fire,Livestock,Other,Recreation",14,6
"Agriculture Irrigation,Commercial/Industrial,Public Supply,Recreation,Unspecified",14,5
"Agriculture Irrigation,Domestic,Fire,Other,Public Supply,Recreation",14,6
"Agriculture Irrigation,Aquaculture,Domestic,Public Supply,Recreation",14,5
"Commercial/Industrial,Domestic,Livestock,Public Supply",14,4
"Aquifer Recharge,In-stream Flow,Other",14,3
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Other,Recreation,Unspecified",14,7
"Agriculture Irrigation,Commercial/Industrial,Recreation",14,3
"Aquaculture,Commercial/Industrial,Domestic,Other,Public Supply,Unspecified",14,6
"Recreation,Reservoir Storage,Unspecified",14,3
Treated Wastewater/Reuse,14,1
"Agriculture Irrigation,Aquaculture,Livestock,Other,Reservoir Storage",13,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other,Unspecified",13,5
"Domestic,Reservoir Storage",13,2
"Aquifer Recharge,Livestock",13,2
"Agriculture Irrigation,Domestic,Livestock,Thermoelectric Cooling",13,4
"In-stream Flow,Livestock,Other",13,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Hydroelectric,Livestock,Other,Public Supply,Recreation,Unspecified",13,11
"Agriculture Irrigation,Domestic,Livestock,Municipal Irrigation,Other",13,5
"Agriculture Irrigation,Commercial/Industrial,Livestock,Public Supply",13,4
"Livestock,Other,Recreation,Unspecified",13,4
"Agriculture Irrigation,Livestock,Other,Reservoir Storage",13,4
"Aquifer Recharge,Reservoir Storage",13,2
"Agriculture Irrigation,Commercial/Industrial,Fire,Livestock,Recreation",13,5
"Agriculture Irrigation,In-stream Flow,Unspecified",13,3
"Commercial/Industrial,Domestic,Fire,Public Supply,Recreation",13,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other,Public Supply,Unspecified",13,6
"Agriculture Irrigation,Aquaculture,Other,Reservoir Storage",13,4
"Agriculture Irrigation,Commercial/Industrial,Other,Public Supply,Recreation",13,5
"Agriculture Irrigation,Aquifer Recharge,Livestock,Other",13,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other",13,5
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Public Supply,Recreation,Unspecified",13,7
"Agriculture Irrigation,Aquaculture,Other,Public Supply,Recreation,Unspecified",13,6
"Commercial/Industrial,Public Supply,Thermoelectric Cooling",13,3
"Commercial/Industrial,Livestock,Mining,Public Supply",13,4
"Domestic,Municipal Irrigation,Recreation",13,3
"Commercial/Industrial,Hydroelectric",13,2
"Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply",13,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Other,Recreation,Unspecified",13,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Public Supply,Recreation",13,5
"Agriculture Irrigation,Aquaculture,Livestock,Recreation,Unspecified",13,5
"Commercial/Industrial,Domestic,Mining,Public Supply",13,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Recreation,Reservoir Storage,Unspecified",12,9
"Agriculture Irrigation,Fire,Livestock,Unspecified",12,4
"Agriculture Irrigation,Aquaculture,Other,Recreation,Reservoir Storage",12,5
"Aquaculture,Fire,Livestock,Recreation,Unspecified",12,5
"Aquifer Recharge,Public Supply,Unspecified",12,3
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation",12,8
"Commercial/Industrial,Livestock,Municipal Irrigation",12,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock",12,6
"Commercial/Industrial,Domestic,Livestock,Unspecified",12,4
"Agriculture Irrigation,Other,Reservoir Storage",12,3
"Commercial/Industrial,Domestic,Fire,Public Supply,Snow,Unspecified",12,6
"Commercial/Industrial,Domestic,Other,Recreation",12,4
"Commercial/Industrial,Public Supply,Recreation",12,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Hydroelectric",12,5
"Other,Recreation,Reservoir Storage",12,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Public Supply,Reservoir Storage,Unspecified",12,6
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Livestock,Other,Recreation,Unspecified",11,9
"Commercial/Industrial,Domestic,Fire,Unspecified",11,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Unspecified",11,6
"Aquaculture,Commercial/Industrial,Livestock",11,3
"Agriculture Irrigation,Aquaculture,Fire,Other,Unspecified",11,5
"Mining,Other,Unspecified",11,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Recreation,Snow",11,7
"Agriculture Irrigation,Aquaculture,Livestock,Other,Recreation,Reservoir Storage",11,6
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Other,Public Supply,Recreation",11,7
"Aquaculture,Domestic,Fire",11,3
"Commercial/Industrial,Domestic,Mining",11,3
"Domestic,Recreation,Unspecified",11,3
"Aquaculture,Commercial/Industrial,Other,Recreation",11,4
"Aquaculture,Other,Reservoir Storage",11,3
"In-stream Flow,Livestock,Recreation",11,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Public Supply,Recreation,Unspecified",11,7
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation",11,10
"Agriculture Irrigation,Aquaculture,Fire,Public Supply,Recreation,Unspecified",11,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Recreation,Reservoir Storage,Unspecified",11,9
"Agriculture Irrigation,Fire,Livestock,Recreation",11,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other,Recreation",11,6
"Aquaculture,Commercial/Industrial,Domestic",11,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Unspecified",11,8
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",11,12
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Livestock,Public Supply,Recreation",11,8
"Commercial/Industrial,Public Supply,Reservoir Storage",11,3
"Agriculture Irrigation,Municipal Irrigation,Unspecified",11,3
"Aquaculture,Other,Public Supply,Recreation,Unspecified",11,5
"Aquaculture,Domestic,Fire,Other,Recreation,Unspecified",11,6
"Aquaculture,Aquifer Recharge,Livestock,Other,Recreation",11,5
"Agriculture Irrigation,Aquaculture,Livestock,Other,Unspecified",11,5
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Other,Recreation,Unspecified",11,7
"Aquaculture,Commercial/Industrial,Domestic,Recreation",10,4
"Domestic,Fire,Livestock,Unspecified",10,4
"Aquaculture,Commercial/Industrial,Domestic,Recreation,Unspecified",10,5
"Agriculture Irrigation,Fire,Municipal Irrigation,Recreation",10,4
"Commercial/Industrial,Domestic,Fire,Public Supply,Recreation,Unspecified",10,6
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Other,Recreation,Reservoir Storage",10,7
"Agriculture Irrigation,In-stream Flow,Municipal Irrigation,Recreation",10,4
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,In-stream Flow,Livestock,Other,Public Supply,Recreation,Unspecified",10,12
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",10,9
"Agriculture Irrigation,Domestic,Livestock,Reservoir Storage",10,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Other,Public Supply,Recreation",10,6
"Agriculture Irrigation,Other,Recreation,Reservoir Storage,Unspecified",10,5
"Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Recreation,Reservoir Storage,Unspecified",10,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other",10,7
"Aquaculture,Fire,Livestock,Other,Recreation,Reservoir Storage",10,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Public Supply,Recreation,Unspecified",10,6
"Agriculture Irrigation,Domestic,Other,Thermoelectric Cooling",10,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Public Supply,Recreation,Reservoir Storage,Unspecified",10,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other,Public Supply",10,6
"Agriculture Irrigation,Aquifer Recharge,Recreation,Unspecified",10,4
"Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Recreation",10,6
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Fire,Public Supply,Unspecified",10,6
"Aquaculture,Public Supply,Recreation",10,3
"Agriculture Irrigation,Aquifer Recharge,Public Supply,Unspecified",10,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Recreation,Snow,Unspecified",10,9
"Agriculture Irrigation,Commercial/Industrial,Domestic,Recreation,Unspecified",10,5
"Commercial/Industrial,Livestock,Public Supply",10,3
"Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Recreation,Unspecified",10,8
"Domestic,Livestock,Mining,Other",10,4
"Commercial/Industrial,Domestic,Livestock,Public Supply,Recreation,Unspecified",10,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other,Recreation",10,5
"Agriculture Irrigation,Fire,In-stream Flow",10,3
"Agriculture Irrigation,Aquaculture,Domestic,Hydroelectric,Livestock,Other,Recreation",10,7
"Agriculture Irrigation,Commercial/Industrial,Other,Unspecified",10,4
"Agriculture Irrigation,Commercial/Industrial,Livestock,Other,Public Supply,Recreation",10,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Recreation",10,6
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Public Supply",10,4
"Aquaculture,Livestock,Recreation,Unspecified",10,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Public Supply,Recreation",9,6
"Agriculture Irrigation,In-stream Flow,Livestock,Other",9,4
"Fire,Reservoir Storage,Unspecified",9,3
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Public Supply,Recreation",9,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Reservoir Storage,Unspecified",9,10
"Recreation,Reservoir Storage",9,2
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Public Supply,Recreation,Snow,Unspecified",9,8
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Other,Public Supply",9,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Public Supply,Unspecified",9,8
"Agriculture Irrigation,Mining,Other",9,3
"Agriculture Irrigation,Livestock,Public Supply,Unspecified",9,4
"Other,Thermoelectric Cooling",9,2
"Agriculture Irrigation,Commercial/Industrial,Fire,Livestock",9,4
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Recreation,Unspecified",9,6
"Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Recreation",9,6
"Commercial/Industrial,Fire,Livestock,Other,Unspecified",9,5
"Aquaculture,Domestic,Fire,Livestock,Other,Unspecified",9,6
"Aquaculture,Fire,Other,Unspecified",9,4
"Commercial/Industrial,Fire,Other,Unspecified",9,4
"Livestock,Mining,Other",9,3
"Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Recreation,Unspecified",9,7
"Agriculture Irrigation,Other,Thermoelectric Cooling,Unspecified",9,4
"Municipal Irrigation,Other,Unspecified",9,3
"In-stream Flow,Public Supply",9,2
"Agriculture Irrigation,Domestic,Livestock,Other,Public Supply,Recreation",9,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Livestock,Other,Recreation",9,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other,Public Supply,Recreation,Snow",9,8
"Aquaculture,Domestic,Municipal Irrigation",9,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Reservoir Storage,Snow,Unspecified",9,11
"Agriculture Irrigation,Aquifer Recharge,Other,Reservoir Storage,Unspecified",9,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Livestock,Other,Unspecified",9,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Livestock",8,5
"Agriculture Irrigation,Domestic,Fire,Livestock,Other,Unspecified",8,6
"Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock",8,5
"Agriculture Irrigation,Fire,Livestock,Other,Reservoir Storage",8,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Municipal Irrigation",8,4
"Mining,Other,Public Supply",8,3
"Agriculture Irrigation,Domestic,Fire,Other,Public Supply",8,5
"Agriculture Irrigation,Domestic,Other,Public Supply,Recreation",8,5
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Other,Recreation,Reservoir Storage",8,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,In-stream Flow,Recreation,Reservoir Storage",8,7
"Aquaculture,Domestic,Fire,Other,Public Supply,Recreation",8,6
"Fire,Other,Recreation,Unspecified",8,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Snow",8,9
"Agriculture Irrigation,Aquifer Recharge,Reservoir Storage,Unspecified",8,4
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Other,Public Supply,Recreation,Unspecified",8,8
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Recreation,Reservoir Storage",8,8
"Agriculture Irrigation,Aquaculture,Other,Public Supply,Snow,Unspecified",8,6
"Municipal Irrigation,Thermoelectric Cooling",8,2
"Agriculture Irrigation,Commercial/Industrial,Reservoir Storage,Unspecified",8,4
"Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Recreation",8,7
"Agriculture Irrigation,Domestic,Livestock,Mining,Other",8,5
"Public Supply,Thermoelectric Cooling",8,2
"Aquifer Recharge,Other,Recreation,Unspecified",8,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Livestock,Other,Public Supply,Recreation,Unspecified",8,10
"Agriculture Irrigation,Mining,Unspecified",8,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Public Supply,Recreation,Unspecified",8,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Public Supply,Recreation,Unspecified",8,8
"Aquaculture,Domestic,Livestock,Municipal Irrigation",8,4
"Livestock,Mining,Public Supply",8,3
"Agriculture Irrigation,Domestic,Livestock,Other,Thermoelectric Cooling",8,5
"Domestic,Fire,Municipal Irrigation",8,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Thermoelectric Cooling",7,4
"Domestic,Hydroelectric,Public Supply",7,3
"Agriculture Irrigation,Domestic,Other,Public Supply,Unspecified",7,5
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Unspecified",7,6
"Aquaculture,Commercial/Industrial,Domestic,Fire,Recreation,Unspecified",7,6
"Agriculture Irrigation,Commercial/Industrial,Fire,Other",7,4
"Agriculture Irrigation,Other,Public Supply,Reservoir Storage,Unspecified",7,5
"In-stream Flow,Livestock,Unspecified",7,3
"Livestock,Municipal Irrigation,Recreation",7,3
"Aquaculture,Aquifer Recharge,Commercial/Industrial,In-stream Flow,Recreation,Unspecified",7,6
"Agriculture Irrigation,Livestock,Reservoir Storage",7,3
"Agriculture Irrigation,Domestic,Fire,Livestock,Other,Reservoir Storage",7,6
"Aquaculture,Commercial/Industrial,Domestic,Public Supply,Recreation",7,5
"Agriculture Irrigation,In-stream Flow,Other,Recreation",7,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,In-stream Flow,Public Supply,Recreation,Unspecified",7,7
"Domestic,Fire,Other,Public Supply",7,4
"Agriculture Irrigation,Domestic,Municipal Irrigation,Other",7,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Public Supply,Reservoir Storage,Unspecified",7,7
"Agriculture Irrigation,Domestic,Recreation,Unspecified",7,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Recreation",7,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Livestock,Public Supply,Recreation",7,7
"Agriculture Irrigation,Aquaculture,Public Supply,Recreation,Unspecified",7,5
"Agriculture Irrigation,Aquaculture,Other,Unspecified",7,4
"Agriculture Irrigation,In-stream Flow,Livestock,Recreation",7,4
"Commercial/Industrial,Domestic,Fire,Other",7,4
"Agriculture Irrigation,Livestock,Other,Thermoelectric Cooling",7,4
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Recreation,Unspecified",7,6
"Domestic,Mining,Unspecified",7,3
"Commercial/Industrial,Other,Public Supply",7,3
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Other,Recreation",7,5
"Domestic,Other,Reservoir Storage",7,3
"Agriculture Irrigation,Domestic,Livestock,Reservoir Storage,Unspecified",7,5
"Agriculture Irrigation,Livestock,Mining,Other",7,4
"Aquaculture,Fire,Other,Recreation,Reservoir Storage,Unspecified",7,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Other,Recreation",7,6
"Commercial/Industrial,Domestic,Fire,Livestock,Unspecified",7,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Public Supply,Recreation,Snow",7,9
"Agriculture Irrigation,Aquaculture,Livestock,Recreation,Reservoir Storage,Unspecified",7,6
"Agriculture Irrigation,Commercial/Industrial,Public Supply,Reservoir Storage,Unspecified",7,5
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",7,10
"Aquaculture,Hydroelectric,Livestock,Other,Recreation,Unspecified",7,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Reservoir Storage",7,9
"Commercial/Industrial,Livestock,Other,Unspecified",7,4
"Aquaculture,Hydroelectric,Livestock,Other,Recreation",7,5
"Agriculture Irrigation,Livestock,Municipal Irrigation,Recreation",7,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Public Supply,Unspecified",7,6
"Agriculture Irrigation,Other,Recreation,Reservoir Storage",7,4
"Agriculture Irrigation,Commercial/Industrial,Fire,Livestock,Public Supply,Recreation",7,6
