Term,Name,WaDEname,State,Abbreviation,Definition,Category,Provenance,Provenance_uri,Note,Provenance_uri,Note
CoolingForIndustProces,Cooling for indust proces,Thermoelectric Cooling,WA,,,Unspecified,,,,,
CoolingFromStor,Cooling From Storage,Thermoelectric Cooling,ID,27,,Unspecified,,,,,
CoolingStor,Cooling Storage,Thermoelectric Cooling,ID,26,,Unspecified,,,,,
GeoThermalHeatingandCooling,Geo-Thermal (Heating & Cooling),Thermoelectric Cooling,OR,,,Unspecified,,,,,
GeoThermalEnergyProduction,Geo-Thermal(Energy Production),Thermoelectric Cooling,OR,,,Unspecified,,,,,
Geothermal,Geothermal,Thermoelectric Cooling,"CO, MT, SD, UT","G, GE",,Unspecified,,,,,
GEO,Geothermal boreholes,Thermoelectric Cooling,NM,,,Unspecified,,,,,
GeothermalHeating,Geothermal Heating,Thermoelectric Cooling,MT,GH,,Unspecified,,,,,
HeatControl,Heat Control,Thermoelectric Cooling,CA,,,Unspecified,,,,,
HeatExchange,Heat Exchange,Thermoelectric Cooling,WA,,,Unspecified,,,,,
HeatProtectionForCrops,Heat protection for crops,Thermoelectric Cooling,WA,,,Unspecified,,,,,
Heating,Heating,Thermoelectric Cooling,ID,22,,Unspecified,,,,,
SupplementalCooling,Supplemental Cooling,Thermoelectric Cooling,NE,,,Unspecified,,,,,
TemperatureControl,Temperature Control,Thermoelectric Cooling,OR,,,Unspecified,,,,,
Reuse,Reuse,Treated Wastewater/Reuse,TX,,,Unspecified,,,,,
SewageTreatment,Sewage Treatment,Treated Wastewater/Reuse,UT,,,Unspecified,,,,,
WasteStorage,Waste Storage,Treated Wastewater/Reuse,NE,,,Unspecified,,,,,
AllBeneficialUses,All Beneficial Uses,Unspecified,CO,X,,Unspecified,,,,,
AnyPurpose,Any Purpose,Unspecified,MT,,,Unspecified,,,,,
AsDecreed,As Decreed,Unspecified,NV,,,Unspecified,,,,,
Augmentation,Augmentation,Unspecified,"CO, MT","A, AG",,Unspecified,,,,,
AugmentationWell,Augmentation well,Unspecified,NM,,,Unspecified,,,,,
CathodicProtectionWell,Cathodic protection well,Unspecified,NM,,,Unspecified,,,,,
CLS,Closed file,Unspecified,NM,,,Unspecified,,,,,
CombinedUses,Combined Uses,Unspecified,WY,,,Unspecified,,,,,
IncidentalPower,Incidental Power,Unspecified,CA,,,Unspecified,,,,,
MiscellaneousGroundWater,Miscellaneous - Ground Water,Unspecified,WY,,,Unspecified,,,,,
NoPurposeIdentified,No Purpose Identified,Unspecified,WA,,,Unspecified,,,,,
NRT,No right,Unspecified,NM,,,Unspecified,,,,,
NOT,No use of right or POD,Unspecified,NM,,,Unspecified,,,,,
None,None,Unspecified,ID,,,Unspecified,,,,,
NotClassified,Not Classified,Unspecified,NJ,,,Unspecified,,,,,
StackedWaterRight,Stacked water right,Unspecified,NM,,,Unspecified,,,,,
TBD,To be determined,Unspecified,NM,,,Unspecified,,,,,
Total,Total,Unspecified,"NE, UT",,,Unspecified,,,,,
Undefined,Undefined,Unspecified,ND,,,Unspecified,,,,,
UNDETERMINED,UNDETERMINED,Unspecified,AZ,,,Unspecified,,,,,
Unknown,Unknown,Unspecified,"MT, UT, CO, NM, NV, TX",XO,,Unspecified,,,,,
Unspecified,Unspecified,Unspecified,"AK, AZ, CA, CO, ID, MT, ND, NE, NM, NV, SD, TX, UT, WY, WA",,,Unspecified,,,,,
